match_id,date,team1,team2,team1_sets,team2_sets,winner
2025-11-09_ny1bf4Dj_p6Uf7OoP,2025-11-09,jt-thunders-ny1bf4Dj,jtekt-p6Uf7OoP,1,3,jtekt-p6Uf7OoP
2025-11-09_xSEDTE5g_O2FjXreG,2025-11-09,essen-xSEDTE5g,freiburg-O2FjXreG,2,3,freiburg-O2FjXreG
2025-11-09_xjw5DS5A_lY4LB6zN,2025-11-09,toray-arrows-xjw5DS5A,osaka-bluteon-lY4LB6zN,0,3,osaka-bluteon-lY4LB6zN
2025-11-10_2PiJkt1T_bLGPsNgP,2025-11-10,monteros-2PiJkt1T,tucuman-de-gimnasia-bLGPsNgP,0,3,tucuman-de-gimnasia-bLGPsNgP
2025-11-10_ba4VIY16_hbFonVBi,2025-11-10,din-moscow-ba4VIY16,kemerovo-hbFonVBi,3,1,din-moscow-ba4VIY16
2025-11-10_dxBuFAus_p298ASFI,2025-11-10,sesi-sp-dxBuFAus,suzano-volei-p298ASFI,1,3,suzano-volei-p298ASFI
2025-11-11_Ao2IPdfQ_K4CJzoda,2025-11-11,trefl-gdansk-Ao2IPdfQ,cuprum-gorzow-K4CJzoda,3,2,trefl-gdansk-Ao2IPdfQ
2025-11-11_WGABxZRf_lhL6wFCl,2025-11-11,tours-WGABxZRf,tourcoing-lhL6wFCl,3,2,tours-WGABxZRf
2025-11-11_jm1YCctT_zav73FX6,2025-11-11,barkom-jm1YCctT,projekt-warszawa-zav73FX6,3,0,barkom-jm1YCctT
2025-11-11_CWJyenai_8pWgkzcP,2025-11-11,vco-berlin-CWJyenai,luneburg-8pWgkzcP,0,3,luneburg-8pWgkzcP
2025-11-12_OSDwWRtI_ba4VIY16,2025-11-12,mgtu-moscow-OSDwWRtI,din-moscow-ba4VIY16,0,3,din-moscow-ba4VIY16
2025-11-12_pKEFygs1_rye49eZt,2025-11-12,foinikas-syroy-pKEFygs1,nordenskov-uif-rye49eZt,3,0,foinikas-syroy-pKEFygs1
2025-11-12_2mFkvMLS_OfkhJ7gb,2025-11-12,maaseik-2mFkvMLS,craiova-OfkhJ7gb,3,1,maaseik-2mFkvMLS
2025-11-12_nekXvmpb_8pWgkzcP,2025-11-12,scc-berlin-nekXvmpb,luneburg-8pWgkzcP,0,3,luneburg-8pWgkzcP
2025-11-12_0bgyv7a4_O2FjXreG,2025-11-12,netzhoppers-0bgyv7a4,freiburg-O2FjXreG,3,1,netzhoppers-0bgyv7a4
2025-11-12_MB7pnxoH_hC0jKP7N,2025-11-12,dinamo-lo-MB7pnxoH,nova-novokuybyshevsk-hC0jKP7N,3,2,dinamo-lo-MB7pnxoH
2025-11-12_4GBklWR2_AwS2lscL,2025-11-12,levski-sofia-4GBklWR2,mok-mursa-osijek-AwS2lscL,3,0,levski-sofia-4GBklWR2
2025-11-12_dYSKZXu0_dfQqb0kJ,2025-11-12,ok-maribor-dYSKZXu0,podgorica-dfQqb0kJ,3,0,ok-maribor-dYSKZXu0
2025-11-12_nibTuLpg_S0nUsKBh,2025-11-12,enisey-krasnoyarsk-nibTuLpg,zenit-st-petersburg-S0nUsKBh,3,2,enisey-krasnoyarsk-nibTuLpg
